"var","var2","yhat","yhat_scale","cluster","var_name_x","var_name_y","yhat_scale_2"
"1","1 Hovedstadskommune",60,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"2","2 Storbykommune",60,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"3","3 Provinsbykommune",60,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"4","4 Oplandskommune",60,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"5","5 Landkommune",60,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"6","1 Hovedstadskommune",61,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"7","2 Storbykommune",61,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"8","3 Provinsbykommune",61,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"9","4 Oplandskommune",61,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"10","5 Landkommune",61,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"11","1 Hovedstadskommune",62,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"12","2 Storbykommune",62,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"13","3 Provinsbykommune",62,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"14","4 Oplandskommune",62,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"15","5 Landkommune",62,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"16","1 Hovedstadskommune",63,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"17","2 Storbykommune",63,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"18","3 Provinsbykommune",63,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"19","4 Oplandskommune",63,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"20","5 Landkommune",63,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"21","1 Hovedstadskommune",64,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"22","2 Storbykommune",64,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"23","3 Provinsbykommune",64,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"24","4 Oplandskommune",64,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"25","5 Landkommune",64,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"26","1 Hovedstadskommune",65,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"27","2 Storbykommune",65,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"28","3 Provinsbykommune",65,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"29","4 Oplandskommune",65,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"30","5 Landkommune",65,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"31","1 Hovedstadskommune",66,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"32","2 Storbykommune",66,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"33","3 Provinsbykommune",66,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"34","4 Oplandskommune",66,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"35","5 Landkommune",66,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"36","1 Hovedstadskommune",67,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"37","2 Storbykommune",67,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"38","3 Provinsbykommune",67,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"39","4 Oplandskommune",67,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"40","5 Landkommune",67,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"41","1 Hovedstadskommune",68,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"42","2 Storbykommune",68,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"43","3 Provinsbykommune",68,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"44","4 Oplandskommune",68,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"45","5 Landkommune",68,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"46","1 Hovedstadskommune",69,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"47","2 Storbykommune",69,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"48","3 Provinsbykommune",69,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"49","4 Oplandskommune",69,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"50","5 Landkommune",69,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"51","1 Hovedstadskommune",70,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"52","2 Storbykommune",70,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"53","3 Provinsbykommune",70,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"54","4 Oplandskommune",70,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"55","5 Landkommune",70,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"56","1 Hovedstadskommune",71,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"57","2 Storbykommune",71,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"58","3 Provinsbykommune",71,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"59","4 Oplandskommune",71,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"60","5 Landkommune",71,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"61","1 Hovedstadskommune",72,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"62","2 Storbykommune",72,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"63","3 Provinsbykommune",72,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"64","4 Oplandskommune",72,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"65","5 Landkommune",72,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"66","1 Hovedstadskommune",73,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"67","2 Storbykommune",73,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"68","3 Provinsbykommune",73,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"69","4 Oplandskommune",73,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"70","5 Landkommune",73,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"71","1 Hovedstadskommune",74,0.358504747328889,0,"Cluster_1","muni_type","KARAKTER_UDD_HS",0
"72","2 Storbykommune",74,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"73","3 Provinsbykommune",74,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"74","4 Oplandskommune",74,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"75","5 Landkommune",74,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"76","1 Hovedstadskommune",75,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"77","2 Storbykommune",75,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"78","3 Provinsbykommune",75,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"79","4 Oplandskommune",75,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"80","5 Landkommune",75,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"81","1 Hovedstadskommune",76,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"82","2 Storbykommune",76,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
"83","3 Provinsbykommune",76,0.373337804090834,0.0148330567619447,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.588560176119394
"84","4 Oplandskommune",76,0.382905526911891,0.0244007795830017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.968197409293751
"85","5 Landkommune",76,0.380129503567204,0.0216247562383151,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.858047706849943
"86","1 Hovedstadskommune",77,0.370787746838993,0.0122829995101044,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.487376571866748
"87","2 Storbykommune",77,0.373230099813691,0.0147253524848017,"Cluster_1","muni_type","KARAKTER_UDD_HS",0.584286583066967
