"group","state","k","x","value","grouplab"
"1","Cluster 1","Not teacher","0","1",0.783194858128233,"Cluster 1 (n=7201)"
"2","Cluster 1","Not teacher","1","2",0.769562630169592,"Cluster 1 (n=7201)"
"3","Cluster 1","Not teacher","2","3",0.78772826880935,"Cluster 1 (n=7201)"
"4","Cluster 1","Not teacher","3","4",0.805425904317386,"Cluster 1 (n=7201)"
"5","Cluster 1","Not teacher","4","5",0.810747663551402,"Cluster 1 (n=7201)"
"6","Cluster 1","Not teacher","5","6",0.825131042516016,"Cluster 1 (n=7201)"
"7","Cluster 1","Not teacher","6","7",0.832626188734455,"Cluster 1 (n=7201)"
"8","Cluster 1","Not teacher","7","8",0.851797719964922,"Cluster 1 (n=7201)"
"9","Cluster 1","Not teacher","8","9",0.859608072535829,"Cluster 1 (n=7201)"
"10","Cluster 1","Not teacher","9","10",0.870721316292052,"Cluster 1 (n=7201)"
"11","Cluster 1","Not teacher","10","11",0.876583210603829,"Cluster 1 (n=7201)"
"12","Cluster 1","Not teacher","11","12",0.881473808819177,"Cluster 1 (n=7201)"
"13","Cluster 1","Not teacher","12","13",0.886568932326373,"Cluster 1 (n=7201)"
"14","Cluster 1","Not teacher","13","14",0.891983495431771,"Cluster 1 (n=7201)"
"15","Cluster 1","Not teacher","14","15",0.903378079362738,"Cluster 1 (n=7201)"
"16","Cluster 1","Not teacher","15","16",0.911487481590574,"Cluster 1 (n=7201)"
"17","Cluster 1","Not teacher","16","17",0.917131942403761,"Cluster 1 (n=7201)"
"18","Cluster 1","Not teacher","17","18",0.917577548005908,"Cluster 1 (n=7201)"
"19","Cluster 1","Not teacher","18","19",0.917856617105844,"Cluster 1 (n=7201)"
"20","Cluster 1","Not teacher","19","20",0.921684959952536,"Cluster 1 (n=7201)"
"21","Cluster 1","Not teacher","20","21",0.917928168596023,"Cluster 1 (n=7201)"
"22","Cluster 1","Not teacher","21","22",0.916105877074922,"Cluster 1 (n=7201)"
"23","Cluster 1","Not teacher","22","23",0.905480899894308,"Cluster 1 (n=7201)"
"24","Cluster 1","Not teacher","23","24",0.891125343092406,"Cluster 1 (n=7201)"
"25","Cluster 1","Not teacher","24","25",0.876450824679291,"Cluster 1 (n=7201)"
"26","Cluster 1","Not teacher","25","26",0.863377023901311,"Cluster 1 (n=7201)"
"27","Cluster 1","Not teacher","26","27",0.856033545581612,"Cluster 1 (n=7201)"
"28","Cluster 1","Not teacher","27","28",0.844339622641509,"Cluster 1 (n=7201)"
"29","Cluster 1","Not teacher","28","29",0.838714833759591,"Cluster 1 (n=7201)"
"30","Cluster 1","Not teacher","29","30",0.831573818418061,"Cluster 1 (n=7201)"
"31","Cluster 1","Not teacher","30","31",0.825375846687593,"Cluster 1 (n=7201)"
"32","Cluster 1","Not teacher","31","32",0.824233232221099,"Cluster 1 (n=7201)"
"33","Cluster 1","Not teacher","32","33",0.818527480124438,"Cluster 1 (n=7201)"
"34","Cluster 1","Not teacher","33","34",0.81570996978852,"Cluster 1 (n=7201)"
"35","Cluster 1","Not teacher","34","35",0.815099871724391,"Cluster 1 (n=7201)"
"36","Cluster 1","Not teacher","35","36",0.818356744275544,"Cluster 1 (n=7201)"
"37","Cluster 1","0-25%","0","1",0.058629879291425,"Cluster 1 (n=7201)"
"38","Cluster 1","0-25%","1","2",0.0520678369532877,"Cluster 1 (n=7201)"
"39","Cluster 1","0-25%","2","3",0.0489408327246165,"Cluster 1 (n=7201)"
"40","Cluster 1","0-25%","3","4",0.0428821470245041,"Cluster 1 (n=7201)"
"41","Cluster 1","0-25%","4","5",0.0388434579439252,"Cluster 1 (n=7201)"
"42","Cluster 1","0-25%","5","6",0.0342166569598136,"Cluster 1 (n=7201)"
"43","Cluster 1","0-25%","6","7",0.0362838332114118,"Cluster 1 (n=7201)"
"44","Cluster 1","0-25%","7","8",0.0315697164571763,"Cluster 1 (n=7201)"
"45","Cluster 1","0-25%","8","9",0.0283708686750512,"Cluster 1 (n=7201)"
"46","Cluster 1","0-25%","9","10",0.0267371823123255,"Cluster 1 (n=7201)"
"47","Cluster 1","0-25%","10","11",0.0254786450662739,"Cluster 1 (n=7201)"
"48","Cluster 1","0-25%","11","12",0.0258952352767091,"Cluster 1 (n=7201)"
"49","Cluster 1","0-25%","12","13",0.022952761735525,"Cluster 1 (n=7201)"
"50","Cluster 1","0-25%","13","14",0.0191570881226054,"Cluster 1 (n=7201)"
"51","Cluster 1","0-25%","14","15",0.0147514382652309,"Cluster 1 (n=7201)"
"52","Cluster 1","0-25%","15","16",0.01620029455081,"Cluster 1 (n=7201)"
"53","Cluster 1","0-25%","16","17",0.0149867763737878,"Cluster 1 (n=7201)"
"54","Cluster 1","0-25%","17","18",0.0165435745937962,"Cluster 1 (n=7201)"
"55","Cluster 1","0-25%","18","19",0.0170764021787134,"Cluster 1 (n=7201)"
"56","Cluster 1","0-25%","19","20",0.0197270839513497,"Cluster 1 (n=7201)"
"57","Cluster 1","0-25%","20","21",0.0184030869694271,"Cluster 1 (n=7201)"
"58","Cluster 1","0-25%","21","22",0.0219829519964109,"Cluster 1 (n=7201)"
"59","Cluster 1","0-25%","22","23",0.0244602144043485,"Cluster 1 (n=7201)"
"60","Cluster 1","0-25%","23","24",0.028514791094846,"Cluster 1 (n=7201)"
"61","Cluster 1","0-25%","24","25",0.0319181429444105,"Cluster 1 (n=7201)"
"62","Cluster 1","0-25%","25","26",0.0371626831148805,"Cluster 1 (n=7201)"
"63","Cluster 1","0-25%","26","27",0.0375834756949837,"Cluster 1 (n=7201)"
"64","Cluster 1","0-25%","27","28",0.0391509433962264,"Cluster 1 (n=7201)"
"65","Cluster 1","0-25%","28","29",0.0425191815856778,"Cluster 1 (n=7201)"
"66","Cluster 1","0-25%","29","30",0.0451518596719181,"Cluster 1 (n=7201)"
"67","Cluster 1","0-25%","30","31",0.0452668098463572,"Cluster 1 (n=7201)"
"68","Cluster 1","0-25%","31","32",0.0502190765082575,"Cluster 1 (n=7201)"
"69","Cluster 1","0-25%","32","33",0.0542689249913584,"Cluster 1 (n=7201)"
"70","Cluster 1","0-25%","33","34",0.0568686689177181,"Cluster 1 (n=7201)"
"71","Cluster 1","0-25%","34","35",0.0590067802822063,"Cluster 1 (n=7201)"
"72","Cluster 1","0-25%","35","36",0.0571483548200885,"Cluster 1 (n=7201)"
"73","Cluster 1",">50%-75%","0","1",0.0518890108167424,"Cluster 1 (n=7201)"
"74","Cluster 1",">50%-75%","1","2",0.0590598036298721,"Cluster 1 (n=7201)"
"75","Cluster 1",">50%-75%","2","3",0.0559532505478451,"Cluster 1 (n=7201)"
"76","Cluster 1",">50%-75%","3","4",0.051487747957993,"Cluster 1 (n=7201)"
"77","Cluster 1",">50%-75%","4","5",0.0505257009345794,"Cluster 1 (n=7201)"
"78","Cluster 1",">50%-75%","5","6",0.0476121141525917,"Cluster 1 (n=7201)"
"79","Cluster 1",">50%-75%","6","7",0.0462326261887345,"Cluster 1 (n=7201)"
"80","Cluster 1",">50%-75%","7","8",0.0435545162233265,"Cluster 1 (n=7201)"
"81","Cluster 1",">50%-75%","8","9",0.038607780052647,"Cluster 1 (n=7201)"
"82","Cluster 1",">50%-75%","9","10",0.0359923608050536,"Cluster 1 (n=7201)"
"83","Cluster 1",">50%-75%","10","11",0.0332842415316642,"Cluster 1 (n=7201)"
"84","Cluster 1",">50%-75%","11","12",0.0300384729209825,"Cluster 1 (n=7201)"
"85","Cluster 1",">50%-75%","12","13",0.0306530430919591,"Cluster 1 (n=7201)"
"86","Cluster 1",">50%-75%","13","14",0.0278514588859416,"Cluster 1 (n=7201)"
"87","Cluster 1",">50%-75%","14","15",0.0259625313468063,"Cluster 1 (n=7201)"
"88","Cluster 1",">50%-75%","15","16",0.0213549337260677,"Cluster 1 (n=7201)"
"89","Cluster 1",">50%-75%","16","17",0.0220393770202762,"Cluster 1 (n=7201)"
"90","Cluster 1",">50%-75%","17","18",0.0197932053175775,"Cluster 1 (n=7201)"
"91","Cluster 1",">50%-75%","18","19",0.017223612542323,"Cluster 1 (n=7201)"
"92","Cluster 1",">50%-75%","19","20",0.0145357460694156,"Cluster 1 (n=7201)"
"93","Cluster 1",">50%-75%","20","21",0.0164737310774711,"Cluster 1 (n=7201)"
"94","Cluster 1",">50%-75%","21","22",0.0173470913713175,"Cluster 1 (n=7201)"
"95","Cluster 1",">50%-75%","22","23",0.0187226332477729,"Cluster 1 (n=7201)"
"96","Cluster 1",">50%-75%","23","24",0.0204330588594084,"Cluster 1 (n=7201)"
"97","Cluster 1",">50%-75%","24","25",0.0255039706780696,"Cluster 1 (n=7201)"
"98","Cluster 1",">50%-75%","25","26",0.0268311488049345,"Cluster 1 (n=7201)"
"99","Cluster 1",">50%-75%","26","27",0.027799347724802,"Cluster 1 (n=7201)"
"100","Cluster 1",">50%-75%","27","28",0.0317610062893082,"Cluster 1 (n=7201)"
"101","Cluster 1",">50%-75%","28","29",0.0330882352941176,"Cluster 1 (n=7201)"
"102","Cluster 1",">50%-75%","29","30",0.0329706025661848,"Cluster 1 (n=7201)"
"103","Cluster 1",">50%-75%","30","31",0.0378324797621014,"Cluster 1 (n=7201)"
"104","Cluster 1",">50%-75%","31","32",0.0419615773508595,"Cluster 1 (n=7201)"
"105","Cluster 1",">50%-75%","32","33",0.0404424472865538,"Cluster 1 (n=7201)"
"106","Cluster 1",">50%-75%","33","34",0.0419406433268171,"Cluster 1 (n=7201)"
"107","Cluster 1",">50%-75%","34","35",0.0419644493311343,"Cluster 1 (n=7201)"
"108","Cluster 1",">50%-75%","35","36",0.0415624398691553,"Cluster 1 (n=7201)"
"109","Cluster 1",">25%-50%","0","1",0.051418717667346,"Cluster 1 (n=7201)"
"110","Cluster 1",">25%-50%","1","2",0.0589110383814341,"Cluster 1 (n=7201)"
"111","Cluster 1",">25%-50%","2","3",0.0515704894083272,"Cluster 1 (n=7201)"
"112","Cluster 1",">25%-50%","3","4",0.0488623103850642,"Cluster 1 (n=7201)"
"113","Cluster 1",">25%-50%","4","5",0.0489193925233645,"Cluster 1 (n=7201)"
"114","Cluster 1",">25%-50%","5","6",0.0458648806057076,"Cluster 1 (n=7201)"
"115","Cluster 1",">25%-50%","6","7",0.0397951719092904,"Cluster 1 (n=7201)"
"116","Cluster 1",">25%-50%","7","8",0.0346389944460684,"Cluster 1 (n=7201)"
"117","Cluster 1",">25%-50%","8","9",0.0364141561860193,"Cluster 1 (n=7201)"
"118","Cluster 1",">25%-50%","9","10",0.0326134861172323,"Cluster 1 (n=7201)"
"119","Cluster 1",">25%-50%","10","11",0.0321060382916053,"Cluster 1 (n=7201)"
"120","Cluster 1",">25%-50%","11","12",0.0324060372891388,"Cluster 1 (n=7201)"
"121","Cluster 1",">25%-50%","12","13",0.0325781134310677,"Cluster 1 (n=7201)"
"122","Cluster 1",">25%-50%","13","14",0.0340406719717065,"Cluster 1 (n=7201)"
"123","Cluster 1",">25%-50%","14","15",0.0308305059743325,"Cluster 1 (n=7201)"
"124","Cluster 1",">25%-50%","15","16",0.0301914580265096,"Cluster 1 (n=7201)"
"125","Cluster 1",">25%-50%","16","17",0.0273288275051425,"Cluster 1 (n=7201)"
"126","Cluster 1",">25%-50%","17","18",0.0285081240768095,"Cluster 1 (n=7201)"
"127","Cluster 1",">25%-50%","18","19",0.0310613867216252,"Cluster 1 (n=7201)"
"128","Cluster 1",">25%-50%","19","20",0.028329872441412,"Cluster 1 (n=7201)"
"129","Cluster 1",">25%-50%","20","21",0.02908875037103,"Cluster 1 (n=7201)"
"130","Cluster 1",">25%-50%","21","22",0.0290115148796172,"Cluster 1 (n=7201)"
"131","Cluster 1",">25%-50%","22","23",0.0356333987618904,"Cluster 1 (n=7201)"
"132","Cluster 1",">25%-50%","23","24",0.0428484293992071,"Cluster 1 (n=7201)"
"133","Cluster 1",">25%-50%","24","25",0.0473427000610874,"Cluster 1 (n=7201)"
"134","Cluster 1",">25%-50%","25","26",0.0522744795682344,"Cluster 1 (n=7201)"
"135","Cluster 1",">25%-50%","26","27",0.0562199099239012,"Cluster 1 (n=7201)"
"136","Cluster 1",">25%-50%","27","28",0.0616352201257862,"Cluster 1 (n=7201)"
"137","Cluster 1",">25%-50%","28","29",0.0620204603580563,"Cluster 1 (n=7201)"
"138","Cluster 1",">25%-50%","29","30",0.0648042878025012,"Cluster 1 (n=7201)"
"139","Cluster 1",">25%-50%","30","31",0.0639352387245994,"Cluster 1 (n=7201)"
"140","Cluster 1",">25%-50%","31","32",0.0572969329288844,"Cluster 1 (n=7201)"
"141","Cluster 1",">25%-50%","32","33",0.0603180089872105,"Cluster 1 (n=7201)"
"142","Cluster 1",">25%-50%","33","34",0.0609561044961791,"Cluster 1 (n=7201)"
"143","Cluster 1",">25%-50%","34","35",0.0601062855048561,"Cluster 1 (n=7201)"
"144","Cluster 1",">25%-50%","35","36",0.0606118914758514,"Cluster 1 (n=7201)"
"145","Cluster 1",">75%-100%","0","1",0.0548675340962533,"Cluster 1 (n=7201)"
"146","Cluster 1",">75%-100%","1","2",0.0603986908658137,"Cluster 1 (n=7201)"
"147","Cluster 1",">75%-100%","2","3",0.0558071585098612,"Cluster 1 (n=7201)"
"148","Cluster 1",">75%-100%","3","4",0.0513418903150525,"Cluster 1 (n=7201)"
"149","Cluster 1",">75%-100%","4","5",0.050963785046729,"Cluster 1 (n=7201)"
"150","Cluster 1",">75%-100%","5","6",0.0471753057658707,"Cluster 1 (n=7201)"
"151","Cluster 1",">75%-100%","6","7",0.0450621799561083,"Cluster 1 (n=7201)"
"152","Cluster 1",">75%-100%","7","8",0.0384390529085063,"Cluster 1 (n=7201)"
"153","Cluster 1",">75%-100%","8","9",0.0369991225504534,"Cluster 1 (n=7201)"
"154","Cluster 1",">75%-100%","9","10",0.0339356544733363,"Cluster 1 (n=7201)"
