"group","state","k","x","value","grouplab"
"1","1","Not teacher","0","1",0.659399684044234,"Rel. Freq. (n=14053)"
"2","1","Not teacher","1","2",0.610386673701666,"Rel. Freq. (n=14053)"
"3","1","Not teacher","2","3",0.588702494061758,"Rel. Freq. (n=14053)"
"4","1","Not teacher","3","4",0.573608950137067,"Rel. Freq. (n=14053)"
"5","1","Not teacher","4","5",0.558919560700505,"Rel. Freq. (n=14053)"
"6","1","Not teacher","5","6",0.547518361896283,"Rel. Freq. (n=14053)"
"7","1","Not teacher","6","7",0.539201790376725,"Rel. Freq. (n=14053)"
"8","1","Not teacher","7","8",0.540804898081087,"Rel. Freq. (n=14053)"
"9","1","Not teacher","8","9",0.535176444144752,"Rel. Freq. (n=14053)"
"10","1","Not teacher","9","10",0.532614433300656,"Rel. Freq. (n=14053)"
"11","1","Not teacher","10","11",0.527788279773157,"Rel. Freq. (n=14053)"
"12","1","Not teacher","11","12",0.519796723300971,"Rel. Freq. (n=14053)"
"13","1","Not teacher","12","13",0.517385680590428,"Rel. Freq. (n=14053)"
"14","1","Not teacher","13","14",0.517489946126413,"Rel. Freq. (n=14053)"
"15","1","Not teacher","14","15",0.520462498098281,"Rel. Freq. (n=14053)"
"16","1","Not teacher","15","16",0.518597236981934,"Rel. Freq. (n=14053)"
"17","1","Not teacher","16","17",0.519399818126705,"Rel. Freq. (n=14053)"
"18","1","Not teacher","17","18",0.516610789393478,"Rel. Freq. (n=14053)"
"19","1","Not teacher","18","19",0.517914316206739,"Rel. Freq. (n=14053)"
"20","1","Not teacher","19","20",0.516630901287554,"Rel. Freq. (n=14053)"
"21","1","Not teacher","20","21",0.517784435737881,"Rel. Freq. (n=14053)"
"22","1","Not teacher","21","22",0.51686438706676,"Rel. Freq. (n=14053)"
"23","1","Not teacher","22","23",0.511966213045518,"Rel. Freq. (n=14053)"
"24","1","Not teacher","23","24",0.506477093206951,"Rel. Freq. (n=14053)"
"25","1","Not teacher","24","25",0.503213520590336,"Rel. Freq. (n=14053)"
"26","1","Not teacher","25","26",0.500761889485925,"Rel. Freq. (n=14053)"
"27","1","Not teacher","26","27",0.500971659919028,"Rel. Freq. (n=14053)"
"28","1","Not teacher","27","28",0.496147540983607,"Rel. Freq. (n=14053)"
"29","1","Not teacher","28","29",0.493351063829787,"Rel. Freq. (n=14053)"
"30","1","Not teacher","29","30",0.492054099746407,"Rel. Freq. (n=14053)"
"31","1","Not teacher","30","31",0.490135263203239,"Rel. Freq. (n=14053)"
"32","1","Not teacher","31","32",0.491333040035196,"Rel. Freq. (n=14053)"
"33","1","Not teacher","32","33",0.493818247450591,"Rel. Freq. (n=14053)"
"34","1","Not teacher","33","34",0.497954629973968,"Rel. Freq. (n=14053)"
"35","1","Not teacher","34","35",0.50828356771335,"Rel. Freq. (n=14053)"
"36","1","Not teacher","35","36",0.517192413023633,"Rel. Freq. (n=14053)"
"37","1","0-25%","0","1",0.0837282780410742,"Rel. Freq. (n=14053)"
"38","1","0-25%","1","2",0.0871334891083139,"Rel. Freq. (n=14053)"
"39","1","0-25%","2","3",0.0963479809976247,"Rel. Freq. (n=14053)"
"40","1","0-25%","3","4",0.0961695191524042,"Rel. Freq. (n=14053)"
